date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:28	1916/1916	U-----	200	untouched ('')	image/gif	etag:%2277c-51ca1c43444a4%22	http://psykologisk-center.dk/images/logo.gif	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/images/logo.gif	(from http://psykologisk-center.dk/)
20:05:29	13395/13395	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:28%20GMT	http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/tilskud-til-betaling-af-psykologsamtaler/index.html	(from http://psykologisk-center.dk/)
20:05:30	31460/31460	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:28%20GMT	http://psykologisk-center.dk/medarbejdere/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/medarbejdere/index.html	(from http://psykologisk-center.dk/)
20:05:30	18402/18402	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:29%20GMT	http://psykologisk-center.dk/praktisk-info/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/praktisk-info/index.html	(from http://psykologisk-center.dk/)
20:05:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2018:05:29%20GMT	http://psykologisk-center.dk/generelt	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/generelt	(from http://psykologisk-center.dk/)
20:05:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2018:05:29%20GMT	http://psykologisk-center.dk/metoder	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/metoder	(from http://psykologisk-center.dk/)
20:05:30	14616/14616	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:29%20GMT	http://psykologisk-center.dk/metoder/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/metoder/index.html	(from http://psykologisk-center.dk/)
20:05:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2018:05:31%20GMT	http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/tilskud-til-betaling-af-psykologsamtaler	(from http://psykologisk-center.dk/)
20:05:32	14049/14049	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:30%20GMT	http://psykologisk-center.dk/generelt/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/generelt/index.html	(from http://psykologisk-center.dk/)
20:05:32	12773/12773	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:29%20GMT	http://psykologisk-center.dk/samarbejde/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/samarbejde/index.html	(from http://psykologisk-center.dk/)
20:05:34	16355/16355	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:30%20GMT	http://psykologisk-center.dk/kriminelle-og-antisociale-unge/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/kriminelle-og-antisociale-unge/index.html	(from http://psykologisk-center.dk/)
20:05:34	14640/14640	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:31%20GMT	http://psykologisk-center.dk/unge-fra-familier-med-rusmiddelmisbrug/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/unge-fra-familier-med-rusmiddelmisbrug/index.html	(from http://psykologisk-center.dk/)
20:05:34	14855/14855	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:30%20GMT	http://psykologisk-center.dk/personlighedsforstyrrelser/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/personlighedsforstyrrelser/index.html	(from http://psykologisk-center.dk/)
20:05:35	14993/14993	U--M--	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:32%20GMT	http://psykologisk-center.dk/unge-med-flygtninge-eller-invandrerbaggrund/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/unge-med-flygtninge-eller-invandrerbaggrund/index.html	(from http://psykologisk-center.dk/)
20:05:36	12907/12907	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:31%20GMT	http://psykologisk-center.dk/individuel-psykoterapi/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/individuel-psykoterapi/index.html	(from http://psykologisk-center.dk/)
20:05:36	16259/16259	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:32%20GMT	http://psykologisk-center.dk/familiebehandling-et-alternativ-til-anbringelse/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/familiebehandling-et-alternativ-til-anbringelse/index.html	(from http://psykologisk-center.dk/)
20:05:38	14681/14681	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:34%20GMT	http://psykologisk-center.dk/psykologisk-undersoegelse/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/psykologisk-undersoegelse/index.html	(from http://psykologisk-center.dk/)
20:05:38	12985/12985	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:34%20GMT	http://psykologisk-center.dk/supervision/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/supervision/index.html	(from http://psykologisk-center.dk/)
20:05:38	14060/14060	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:34%20GMT	http://psykologisk-center.dk/undervisning-og-kurser/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/undervisning-og-kurser/index.html	(from http://psykologisk-center.dk/)
20:05:38	14548/14548	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:35%20GMT	http://psykologisk-center.dk/visitation/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/visitation/index.html	(from http://psykologisk-center.dk/)
20:05:39	49153/49153	U-----	200	untouched ('')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/analytics.js	(from http://psykologisk-center.dk/)
20:05:39	109665/109665	U-----	200	untouched ('')	image/png	etag:%221ac61-5559dc9e403c2%22	http://psykologisk-center.dk/wordpress/wp-content/uploads/2017/07/talli.png	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/uploads/2017/07/talli.png	(from http://psykologisk-center.dk/)
20:05:39	185/185	U-----	200	untouched ('')	image/gif	etag:%22b9-51ca1c4399cdb%22	http://psykologisk-center.dk/images/top_bg.gif	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/images/top_bg.gif	(from http://psykologisk-center.dk/)
20:05:39	32169/32169	U-----	200	untouched ('')	image/png	etag:%227da9-5559ee264cb75%22	http://psykologisk-center.dk/wordpress/wp-content/uploads/2017/07/j%c3%b8rgen2.png	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/uploads/2017/07/j%c3%b8rgen2.png	(from http://psykologisk-center.dk/)
20:05:40	13351/13351	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:35%20GMT	http://psykologisk-center.dk/betaling/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/betaling/index.html	(from http://psykologisk-center.dk/)
20:05:40	14457/14457	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:35%20GMT	http://psykologisk-center.dk/artikler/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/artikler/index.html	(from http://psykologisk-center.dk/)
20:05:40	8663/8663	U-----	200	untouched ('')	application/javascript	etag:%2221d7-5c09032db38fe-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/jquery/ui/accordion.min.js?ver=1.12.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/jquery/ui/accordion.min35d0.js	(from http://psykologisk-center.dk/)
20:05:40	1426/1426	U-----	200	untouched ('')	application/javascript	etag:%22592-5c09032e0ac3f-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/wp-embed.min.js?ver=5.7.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/wp-embed.mina78f.js	(from http://psykologisk-center.dk/)
20:05:40	20787/20787	U-----	200	untouched ('')	application/javascript	etag:%225133-5c09032da0438-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/jquery/ui/core.min35d0.js	(from http://psykologisk-center.dk/)
20:05:40	4119/4119	U-----	200	untouched ('')	image/png	etag:%221017-5c09032d4283b%22	http://psykologisk-center.dk/wordpress/wp-includes/images/w-logo-blue-white-bg.png	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/favicon.ico	(from http://psykologisk-center.dk/)
20:05:40	102819/102819	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2018:05:26%20GMT	http://psykologisk-center.dk/wp-json/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/index.html	(from http://psykologisk-center.dk/)
