date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:36	17693/17693	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:33%20GMT	http://psykologisk-center.dk/familiebehandling-et-alternativ-til-anbringelse/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/familiebehandling-et-alternativ-til-anbringelse/index.html	(from http://psykologisk-center.dk/)
16:53:37	16115/16115	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:34%20GMT	http://psykologisk-center.dk/psykologisk-undersoegelse/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/psykologisk-undersoegelse/index.html	(from http://psykologisk-center.dk/)
16:53:37	14419/14419	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:35%20GMT	http://psykologisk-center.dk/supervision/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/supervision/index.html	(from http://psykologisk-center.dk/)
16:53:38	15494/15494	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:36%20GMT	http://psykologisk-center.dk/undervisning-og-kurser/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/undervisning-og-kurser/index.html	(from http://psykologisk-center.dk/)
16:53:39	15982/15982	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:37%20GMT	http://psykologisk-center.dk/visitation/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/visitation/index.html	(from http://psykologisk-center.dk/)
16:53:39	14785/14785	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:37%20GMT	http://psykologisk-center.dk/betaling/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/betaling/index.html	(from http://psykologisk-center.dk/)
16:53:40	185/185	U-----	200	untouched ('')	image/gif	etag:%22b9-51ca1c4399cdb%22	http://psykologisk-center.dk/images/top_bg.gif	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/images/top_bg.gif	(from http://psykologisk-center.dk/)
16:53:40	109665/109665	U-----	200	untouched ('')	image/png	etag:%221ac61-5559dc9e403c2%22	http://psykologisk-center.dk/wordpress/wp-content/uploads/2017/07/talli.png	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/uploads/2017/07/talli.png	(from http://psykologisk-center.dk/)
16:53:40	15891/15891	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2014:53:37%20GMT	http://psykologisk-center.dk/artikler/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/artikler/index.html	(from http://psykologisk-center.dk/)
16:53:40	32169/32169	U-----	200	untouched ('')	image/png	etag:%227da9-5559ee264cb75%22	http://psykologisk-center.dk/wordpress/wp-content/uploads/2017/07/j%c3%b8rgen2.png	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/uploads/2017/07/j%c3%b8rgen2.png	(from http://psykologisk-center.dk/)
16:53:40	49153/49153	U-----	200	untouched ('')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/analytics.js	(from http://psykologisk-center.dk/)
16:53:40	3699/3699	U-----	200	untouched ('OK')	text/css	etag:%22e73-5b5fb5806a40b-gzip%22	http://psykologisk-center.dk/wordpress/wp-content/plugins/eu-cookie-law/css/style.css?ver=5.7.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/plugins/eu-cookie-law/css/stylea78f.css	(from http://psykologisk-center.dk/)
16:53:40	20787/20787	U-----	200	untouched ('')	application/javascript	etag:%225133-5c09032da0438-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/jquery/ui/core.min35d0.js	(from http://psykologisk-center.dk/)
16:53:41	8663/8663	U-----	200	untouched ('')	application/javascript	etag:%2221d7-5c09032db38fe-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/jquery/ui/accordion.min.js?ver=1.12.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/jquery/ui/accordion.min35d0.js	(from http://psykologisk-center.dk/)
16:53:41	1426/1426	U-----	200	untouched ('')	application/javascript	etag:%22592-5c09032e0ac3f-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/wp-embed.min.js?ver=5.7.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/wp-embed.mina78f.js	(from http://psykologisk-center.dk/)
16:53:41	2960/2960	U-----	200	untouched ('')	application/javascript	etag:%22b90-5b5fb58071583-gzip%22	http://psykologisk-center.dk/wordpress/wp-content/plugins/eu-cookie-law/js/scripts.js?ver=3.1.6	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/plugins/eu-cookie-law/js/scripts005e.js	(from http://psykologisk-center.dk/)
16:53:42	4119/4119	U-----	200	untouched ('')	image/png	etag:%221017-5c09032d4283b%22	http://psykologisk-center.dk/wordpress/wp-includes/images/w-logo-blue-white-bg.png	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/favicon.ico	(from http://psykologisk-center.dk/)
16:53:42	173/173	U-----	200	untouched ('')	image/gif	etag:%22ad-5190b6fa4ae6e%22	http://psykologisk-center.dk/wordpress/wp-content/themes/psykc/images/punkt.gif	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/themes/psykc/images/punkt.gif	(from http://psykologisk-center.dk/wordpress/wp-content/themes/psykc/style.css)
16:53:43	29063/29063	U-----	200	untouched ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/font-awesome/4.6.3/css/font-awesome.min.css	(from http://psykologisk-center.dk/)
16:53:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2014:53:42%20GMT	http://psykologisk-center.dk/?p=506	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/index8ce5.html	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
16:53:44	2468/2468	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2014:53:42%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Ftilskud-til-betaling-af-psykologsamtaler%2F	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embed0ce9	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
16:53:44	3548/3548	U-----	200	untouched ('')	application/json	date:Thu,%2022%20Apr%202021%2014:52:10%20GMT	http://psykologisk-center.dk/wp-json/wp/v2/pages/506	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/wp/v2/pages/506	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
16:53:44	2560/2560	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2022%20Apr%202021%2014:53:43%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Ftilskud-til-betaling-af-psykologsamtaler%2F&format=xml	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embed6600	(from http://psykologisk-center.dk/tilskud-til-betaling-af-psykologsamtaler/)
16:53:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2014:53:44%20GMT	http://psykologisk-center.dk/?p=58	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/indexe9b4.html	(from http://psykologisk-center.dk/medarbejdere/)
16:53:45	23438/23438	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2014:53:44%20GMT	http://psykologisk-center.dk/wp-json/wp/v2/pages/58	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/wp/v2/pages/58	(from http://psykologisk-center.dk/medarbejdere/)
16:53:46	78814/78814	U-----	200	untouched ('')	application/pdf	etag:%22133de-55b1ec3a3ed40%22	http://psykologisk-center.dk/pdf/kernberg2.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf/kernberg2.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:46	2420/2420	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2022%20Apr%202021%2014:53:44%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Fmedarbejdere%2F&format=xml	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embedd2a3	(from http://psykologisk-center.dk/medarbejdere/)
16:53:46	11014695/11014695	U-----	200	untouched ('')	application/pdf	etag:%22a81227-56f8a47f2d88d%22	http://psykologisk-center.dk/wordpress/wp-content/uploads/2018/06/vaginisme1987.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/uploads/2018/06/vaginisme1987.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:46	2328/2328	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2014:53:44%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2Fmedarbejdere%2F	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embed8a23	(from http://psykologisk-center.dk/medarbejdere/)
16:53:46	151383/151383	U-----	200	untouched ('')	application/pdf	etag:%2224f57-51ca1c4910bb0%22	http://psykologisk-center.dk/pdf2/Vaginisme%20og%20graviditet.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Vaginisme%20og%20graviditet.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:47	111435/111435	U-----	200	untouched ('')	application/pdf	etag:%221b34b-51ca1c4739925%22	http://psykologisk-center.dk/pdf2/Psykoterap.%20behand.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Psykoterap.%20behand.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:47	115557/115557	U-----	200	untouched ('')	application/pdf	etag:%221c365-51ca1c45314ed%22	http://psykologisk-center.dk/pdf2/Det%20antisociale%20syndrom.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Det%20antisociale%20syndrom.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:47	1254495/1254495	U-----	200	untouched ('')	application/pdf	etag:%2213245f-51ca1c481785a%22	http://psykologisk-center.dk/pdf2/Ti%20timer%20slaar%20ikke%20til.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Ti%20timer%20slaar%20ikke%20til.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:47	111694/111694	U-----	200	untouched ('')	application/pdf	etag:%221b44e-51ca1c4571e76%22	http://psykologisk-center.dk/pdf2/Drenge%20og%20sexsuelle%20overg.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Drenge%20og%20sexsuelle%20overg.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:47	236117/236117	U-----	200	untouched ('')	application/pdf	etag:%2239a55-51ca1c467b0f3%22	http://psykologisk-center.dk/pdf2/Kulturelle%20saertraek.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Kulturelle%20saertraek.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:47	1457189/1457189	U-----	200	untouched ('')	application/pdf	etag:%22163c25-51ca1c48d34b9%22	http://psykologisk-center.dk/pdf2/Unyttig%20og%20uvidende.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Unyttig%20og%20uvidende.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:48	187472/187472	U-----	200	untouched ('')	application/pdf	etag:%222dc50-51ca1c45bf0fc%22	http://psykologisk-center.dk/pdf2/Krim.%20indvandrerdrenge%20kan.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Krim.%20indvandrerdrenge%20kan.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:48	725099/725099	U-----	200	untouched ('')	application/pdf	etag:%22b106b-51ca1c4630531%22	http://psykologisk-center.dk/pdf2/Krim.%20indvandrerdrenge%20psyk.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Krim.%20indvandrerdrenge%20psyk.pdf	(from http://psykologisk-center.dk/medarbejdere/)
16:53:48	85442/85442	U-----	200	untouched ('')	application/pdf	etag:%2214dc2-51ca1c46b80c1%22	http://psykologisk-center.dk/pdf2/Mere%20end%20drengestreger.pdf	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/pdf2/Mere%20end%20drengestreger.pdf	(from http://psykologisk-center.dk/medarbejdere/)
